"2","CAB","SERVICE","Cabinet"
"3","SCF","SERVICE","Service Central et Financier"
"4","SMI","SERVICE","Service Mat̩riel de l'Intendence"
"5","JURIDIQUE","SERVICE","JURIDIQUE"
"6","GAC","SERVICE","Gestion d'Activit̩s"
"7","SOLDE","SERVICE","SOLDE"
"8","UGPM","SERVICE","Unit̩ de Gestion Passation des March̩s"
"9","SEOM","SERVICE","SEOM "
"10","SCMT","SERVICE","SCMT"
"11","INFO","SERVICE","Cellule Informatique"
"12","SG","SERVICE","SG"
"15","ARCHIVES","SERVICE","ARCHIVES"
"16","COURRIER","SERVICE","COURRIER"
"17","SPCM","SERVICE","Service des Personnels Civils et Militaires"
"18","INSPECTION","SERVICE","INSPECTION"
"19","AUDIT","SERVICE","AUDIT"
"20","CISL","ETABLISSEMENT","CISL"
"21","ECMAG","ETABLISSEMENT","ECMAG"
"22","EIA","ETABLISSEMENT","EIA"
"23","EMIV","ETABLISSEMENT","EMIV"
"24","CEMES","ETABLISSEMENT","Cercle Mess Soanierana"
"25","CISL","ETABLISSEMENT","CISL"
"26","SCMT","ETABLISSEMENT","SCMT"
"28","CORPS CAPSAT","CORPS CAPSAT","CORPS CAPSAT"
"29","BI SPORT","BI SPORT","BI SPORT"
"30","MDN","ss","ss"
"31","EMIC","ETABLISSEMENT","Etablissement Militaire Industrie de Chaussure"
