"1","1","MDN","Comptable","1987-01-23","DIA/EMIV"
"2","1","MDN","Chef div","2014-09-01","DIA/SPCM/D2"
"3","2","MINDEF","SECRETAIRE","1987-12-07","DIAP/CEMES"
"4","2","MINDEF","SECRETAIRE","1988-02-15","DIA/DMT/Imprimerie"
"5","2","MINDEF","Responsable CNaPs","2004-11-22","DIA/SPCM/D2"
"6","3","-","SECRETAIRE","1988-08-22","DIA/CISL"
"7","3","-","SECRETAIRE","1992-08-01","DIA/SPCM"
"8","3","-","SECRETAIRE","2010-00-00","DIA/SPCM"
"9","3","-","GESTION FONCTIONNAIRE","2012-00-00","SPCM/PC"
"10","4","ECMAG","SECRETAIRE","1987-03-30","-"
"11","4","DIA/SPCM/D2","GESTION ECD-SOLDE ECD","1999-02-08","-"
"12","4","DIA/CAB","SECRETAIRE","2006-07-14","-"
"13","4","DIA/SPCM/D2","DECOMPTEUR SOLDE FONCTIONNAIRE","0000-00-00","-"
"14","5","MDN","Femme de menage","1980-01-28","DIA/ECMAG"
"15","5","MDN","Lingerie","1993-04-16","DIA/CEMES"
"16","5","MDN","Femme de menage","2000-08-29","DIA/SG"
"17","6","DIA","CouturiÃ¨re","2014-12-01","DIA/EMIV"
"18","6","DIA","CouturiÃ¨re","2015-04-01","1Ã¨re RFI"
"19","7","MDN","MagasiniÃ¨re","1987-06-19","DIA/ECMAG"
"20","7","MDN","Solde ECD","2006-08-01","DIA/SPCM/PC"
"21","7","MDN","GESTION ECD","2010-09-01","DIA/SPCM/PC"
"22","8","-","GESTION ECD","2007-06-01","DIA/ECMAG"
"23","8","-","Chef personnel civil","2009-00-00","DIA/ECMAG"
"24","8","-","Chef personnel civil","2010-00-00","DIA/ECMAG"
"25","8","-","GESTION ECD","2012-12-01","SPCM/PC"
"26","9","-","DECOMPTEUR SOLDE ECD","1982-02-22","DIA/D2"
"27","9","-","SECRETAIRE","1988-00-00","DIA/UGPM"
"30","9","-","SECRETAIRE LIQUIDATION","2010-04-14","SRI 1"
"31","9","-","DECOMPTEUR SOLDE FONCTIONNAIRE","0000-00-00","SPCM/PC"
"32","12","Antsiranana","SecrÃ©taire","2013-10-01","SRI7"
"33","12","-","SecrÃ©taire CNaPs","2015-01-03","DIA/SPCM/PC"
"34","13","MDN","SECRETAIRE","2011-06-01","DIA/EMIV"
"35","13","MDN","SECRETAIRE","0000-00-00","DIA/CISL"
"36","14","-","-","0000-00-00","-"
"37","15","-","-","0000-00-00","-"
"38","16","-","-","0000-00-00","-"
"39","17","-","-","0000-00-00","-"
"40","18","SOANIERANA","SECRETAIRE","0000-00-00","DIA"
"41","19","MDN","Informaticien","2015-04-30","DIA"
"42","20","-","Informaticien","2015-04-30","cellule INFO"
"43","21","MDN","Administrateur rÃ©seau","2016-02-09","DIA"
"44","22","MDN","DÃ©vÃ©loppeur","2016-02-09","DIA"
"45","23","MDN","Technicien systÃ¨me rÃ©seau ","2016-02-09","DIA"
"46","24","MDN","Comptable","2015-04-30","CEMES Fiadanana"
"47","25","-","-","0000-00-00","-"
"48","26","MDN","SecrÃ©taire","0000-00-00","SRI 4"
"49","27","MDN","SecrÃ©taire","2011-06-01","DIA/SEOM"
"50","27","MDN","SÃ©crÃ©taire","2011-10-02","DIA/SRI3"
"51","28","-","-","0000-00-00","-"
"52","28","MDN","Planton","2011-06-11","DIA/CISL"
"53","28","MDN","CouturiÃ¨re","2011-08-01","DIA/EMIV"
"54","28","MDN","CouturiÃ¨re","2012-02-22","1/rm1"
"55","30","-","-","0000-00-00","-"
"56","31","MDN","CouturiÃ¨re","2011-06-01","DIA/EMIV"
"57","31","Yvato","CouturiÃ¨re","0000-00-00","1Â° RFI"
"58","32","-","-","0000-00-00","-"
"60","34","DIA","Chauffeur","2011-06-01","-"
"61","35","-","-","0000-00-00","-"
"62","36","MFA","Stagiaire","2011-09-29","DIA"
"63","36","MDN","Verificateur","2014-01-20","SRI 3"
"64","37","DIA","Comptable","2011-10-04","SCF"
"65","38","MDN","MAITRE D'HOTEL","2011-03-26","DIA"
"66","39","MDN","Decoratrice","2013-11-06","DIA"
"67","40","MDN","chargÃ© de projet","2016-02-09","CEMES Ivato"
"68","41","MDN","SecrÃ©taire","2010-01-07","SPCM/PM"
"69","41","MDN","SecrÃ©taire","2010-03-08","DIA/CAB"
"70","42","MDN","chargÃ© d'etude","2015-04-30","DIA"
"71","43","MDN","chargÃ© d'etude juridique","2015-04-30","DIA"
"72","44","MDN","RÃ©dactrice","2015-04-30","DIA"
"73","45","MDN","RÃ©dactrice","2015-04-30","DIA"
"74","46","MDN","Suivi et Ã©valuation budget","2015-04-30","DIA/SCF"
"75","47","MDN","SECRETAIRE","2015-04-30","DIA"
"76","48","MDN","MagasiniÃ¨re","2008-04-01","DIA/EIA"
"77","49","DIA/Archives","SecrÃ©taire","0000-00-00","-"
"79","51","-","-","0000-00-00","-"
"80","52","-","-","0000-00-00","-"
"81","53","MDN","CHAUFFEUR","2013-08-01","DIA/CAPSAT"
"82","54","-","SecrÃ©taire","0000-00-00","-"
"84","56","-","-","0000-00-00","-"
"85","57","-","SERVICE APPROVISIONEMENT","2010-01-01","EMIV"
"86","57","-","GESTION ECD/PC","2015-04-02","DIA/SPCM/D2"
"87","58","MDN","SECRETAIRE","2010-01-01","DIA/SEOM"
"88","58","-","SecrÃ©taire","2010-04-01","DIA/SPC"
"89","58","-","SecrÃ©taire","2015-05-01","DIA/SCF"
